Наименование эмитента; ИНН эмитента; Государственный регистрационный номер выпуска; Дата государственной регистрации выпуска; Вид ценной бумаги (государственная облигация, облигация, акция, биржевая облигация, пай); Торговая площадка; ИНН торговой площадки; Код ЦБ на торговой площадке; ISIN; Оставшаяся непогашенной часть номинала ЦБ; Валюта номинала; Дата погашения ЦБ; Размер государственных гарантий по ценной бумаге (для ипотечных ценных бумаг); Дата начала размещения выпуска; Дата окончания размещения выпуска; Дата регистрации отчета об итогах выпуска; Рыночная цена, рассчитываемая в соответствии с постановлением ФСФР №10-65/пз-н от 09.11.2010г.; Рыночная цена, рассчитываемая в соответствии с (Приказ ФСФР от 26.12.2006 N 06-155/пз-н); Признаваемая котировка ЦБ (Постановление ФСФР № 05-21/пз-н от 15.06.2005); Рыночная стоимость всех ЦБ данного выпуска (Постановление ФСФР №10-65/пз-н от 09.11.2010г.); НКД; Объем сделок, по которым был произведен расчет рыночной цены ценной бумаги (Приказ ФСФР от 26.12.2006 N 06-155/пз-н); Минимальная цена рыночной сделки; Максимальная цена рыночной сделки; Средневзвешенная цена; Доходность к погашению; Отчетная дата; Дата предоставления информации; Режим торгов; Количество ценных бумаг в выпуске; Количество размещенных ценных бумаг выпуска; Общий объем эмиссии в валюте номинала; Цена последней сделки; Цена закрытия; Дюрация, дней; Цена спроса на момент окончания торговой сессии; Дата ближайшей оферты по облигациям
ЕАБР01;9909220306;;08.10.2009;об;ОАО Московская Биржа;7703507076;RU000A0JR050;RU000A0JR050;1000;RUR;28.01.2019;0;10.02.2012;28.01.2019;07.02.2012;990;0;990;4950000000;8,11;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;990;143;604,0999999999999;01.02.2017
ТПлюс 02;6315376946;4-01-55091-E;29.04.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR0E1;RU000A0JR0E1;1000;RUR;24.08.2017;0;02.09.2010;02.09.2010;09.09.2010;1003,1999999999999;0;1000,5;5016000000;3,38;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1000,5;343;907,2;30.08.2016
Мечел 14об;7703370008;4-14-55005-E;10.08.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR0J0;RU000A0JR0J0;1000;RUR;25.02.2020;0;07.09.2010;07.09.2010;08.09.2010;889,8000000000001;889,8000000000001;890;4449000000;3,29;9671811,6;886,2;895;889,8000000000001;47,47;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;890;890;174;889;30.08.2016
Мечел 13об;7703370008;4-13-55005-E;10.08.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR0K8;RU000A0JR0K8;1000;RUR;25.02.2020;0;07.09.2010;07.09.2010;08.09.2010;890,6999999999999;890,6999999999999;889,3000000000001;4453500000;3,29;2349545,5;885;895;890,6999999999999;47,16;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;889,3000000000001;889,3000000000001;174;888,9;30.08.2016
ЕАБР04;9909220306;;08.10.2009;об;ОАО Московская Биржа;7703507076;RU000A0JR0Q5;RU000A0JR0Q5;1000;RUR;06.02.2018;0;25.02.2011;06.02.2018;21.02.2011;0;0;900;0;6,44;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;900;0;540,8;
ЕБРР 06обл;9909084766;;23.09.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR183;RU000A0JR183;3500000000;RUR;28.09.2018;0;30.09.2010;30.09.2010;;0;0;0;0;494794,52;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1;1;3500000000;0;0;0;0;
ЕБРР 07обл;9909084766;;23.09.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR191;RU000A0JR191;3500000000;RUR;28.09.2018;0;30.09.2010;30.09.2010;;0;0;0;0;494794,52;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1;1;3500000000;0;0;0;0;
ЕБРР 08обл;9909084766;;21.10.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR1A7;RU000A0JR1A7;7000000000;RUR;26.10.2018;0;16.11.2010;26.10.2018;10.11.2010;0;0;0;0;606027,4;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1;1;7000000000;0;0;0;0;
ФСК ЕЭС-06;4716016979;4-06-65018-D;05.11.2009;об;ОАО Московская Биржа;7703507076;RU000A0JR1Y7;RU000A0JR1Y7;1000;RUR;15.09.2020;0;28.09.2010;28.09.2010;05.10.2010;948;0;980;9480000000;38,2;0;980;980;980;9,05;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;980;980;1230;971;24.09.2013
ФСК ЕЭС-07;4716016979;4-07-65018-D;05.11.2009;об;ОАО Московская Биржа;7703507076;RU000A0JR1Z4;RU000A0JR1Z4;1000;RUR;16.10.2020;0;29.10.2010;29.10.2010;17.11.2010;915,5;0;925;4577500000;28,36;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;925;1270;893;23.10.2015
